gameCode;name;isActive;mobileGameCode;seoFriendlyGameName;desktopGameType;mobileGameType;liveLaunchAlias;bingoGameType;vfGameType;jackpotCode;demoModeSupport;gameMode;gameProvider;urlCustomParameters;isExcludedFromPGG;isExcludedFromSitemap;deviceAvailability_mobile;deviceAvailability_tablet;deviceAvailability_desktop;browserAvailability_edge;browserAvailability_safari;browserAvailability_chrome;browserAvailability_firefox;browserAvailability_other;osAvailability_ios;osAvailability_macintosh;osAvailability_android;osAvailability_windows;osAvailability_other;defaultGameImage;landscape_layout1x1_mainImage;landscape_layout1x1_mobileImage;landscape_layout1x1_guestMainImage;landscape_layout1x1_guestMobileImage;landscape_layout1x2_mainImage;landscape_layout1x2_mobileImage;landscape_layout1x2_guestMainImage;landscape_layout1x2_guestMobileImage;landscape_layout2x1_mainImage;landscape_layout2x1_mobileImage;landscape_layout2x1_guestMainImage;landscape_layout2x1_guestMobileImage;landscape_layout2x2_mainImage;landscape_layout2x2_mobileImage;landscape_layout2x2_guestMainImage;landscape_layout2x2_guestMobileImage;square_layout1x1_mainImage;square_layout1x1_mobileImage;square_layout1x1_guestMainImage;square_layout1x1_guestMobileImage;square_layout1x2_mainImage;square_layout1x2_mobileImage;square_layout1x2_guestMainImage;square_layout1x2_guestMobileImage;square_layout2x1_mainImage;square_layout2x1_mobileImage;square_layout2x1_guestMainImage;square_layout2x1_guestMobileImage;square_layout2x2_mainImage;square_layout2x2_mobileImage;square_layout2x2_guestMainImage;square_layout2x2_guestMobileImage;portrait_layout1x1_mainImage;portrait_layout1x1_mobileImage;portrait_layout1x1_guestMainImage;portrait_layout1x1_guestMobileImage;portrait_layout1x2_mainImage;portrait_layout1x2_mobileImage;portrait_layout1x2_guestMainImage;portrait_layout1x2_guestMobileImage;portrait_layout2x1_mainImage;portrait_layout2x1_mobileImage;portrait_layout2x1_guestMainImage;portrait_layout2x1_guestMobileImage;portrait_layout2x2_mainImage;portrait_layout2x2_mobileImage;portrait_layout2x2_guestMainImage;portrait_layout2x2_guestMobileImage;articleId;mobileArticleId;description;isGameNew;isGamePopular;isGameHot;isGameExclusive;additionalAssets_Bingo-Page;gameLabelsData_Trending;gameLabelsData_Exclusive;gameLabelsData_Popular;gameLabelsData_Hot;gameLabelsData_New;gamesCustomFields_hideGameBonusLabel;gamesCustomFields_Jackpot;gamesCustomFields_Volatility;gamesCustomFields_RTP;gamesCustomFields_bingoRoomImage;gamesCustomFields_bingoRoomTitle;gamesCustomFields_bingoRoomLabel;gamesCustomFields_gameInfoUrl
sugar-train;Sugar Train;true;sugar-train;sugar-train;EYECON;EYECON;;;Sugar Train SA;;unavailable;;Eyecon;;false;false;true;true;true;true;true;true;true;true;true;true;true;true;true;/library/Friendly_Games/300x300NoNewsst.jpg;/library/Friendly_Games/300x300NoNewsst.jpg;/library/Friendly_Games/300x300NoNewsst.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;GAME_DESC_SUGAR_TRAIN;GAME_DESC_SUGAR_TRAIN;{{{games_category_slots,studio_eyecon,features_freerounds,features_multipliers,theme_classic,paylines_16-25,test}}};false;true;false;false;;;;;;;;;;;;;;
unicorn-bliss;Unicorn Bliss;true;unicorn-bliss;unicorn-bliss;EYECON;EYECON;;;Unicorn Bliss SA;;unavailable;;Eyecon;;false;false;true;true;true;true;true;true;true;true;true;true;true;true;true;/library/Friendly_Games/Unicorn_Bliss/300x300.jpg;/library/Friendly_Games/Unicorn_Bliss/300x300.jpg;/library/Friendly_Games/Unicorn_Bliss/300x300.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;{{{games_category_slots,studio_eyecon,features_special_wilds,paylines_16-25,theme_fantasy,test}}};false;false;false;false;;;;;;;;;;;;;;
ChicagoStreets;Chicago Streets;false;ChicagoStreets;chicagostreets;GPAS;GPAS;;;;;unavailable;;Playtech;;false;false;true;true;true;true;true;true;true;true;true;true;true;true;true;/library/Games2017/Chicago_Streets/300x300NoNewschicago.jpg;/library/Games2017/Chicago_Streets/300x300NoNewschicago.jpg;/library/Games2017/Chicago_Streets/300x300NoNewschicago.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;{{{games_category_slots,theme_classic,paylines_16-25,bonus_type_free_spins,bonus_type_games_bonus,studio_playtech}}};false;false;false;false;;;;;;;;;;;;;;
VampirePrincess;Vampire Princess;false;VampirePrincess;vampireprincess;GPAS;GPAS;;;;;unavailable;;Playtech;;false;false;true;true;true;true;true;true;true;true;true;true;true;true;true;/library/Games2017/Vampire_Princess/300x300NoNewsvampireprincess.jpg;/library/Games2017/Vampire_Princess/300x300NoNewsvampireprincess.jpg;/library/Games2017/Vampire_Princess/300x300NoNewsvampireprincess.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;{{{games_category_slots,theme_fantasy,paylines_1-15,bonus_type_free_spins,bonus_type_games_bonus,studio_playtech}}};false;false;true;false;;;;;;;;;;;;;;
200-1346-002;King of Atlantis;false;200-1346-002;200-1346-002;GPAS;GPAS;;;King of Atlantis (2) SA;;unavailable;;Playtech;;false;false;true;true;true;true;true;true;true;true;true;true;true;true;true;/library/Games2017/KING_OF_ATLANTIS/SUNGames_300x300Button.jpg;/library/Games2017/KING_OF_ATLANTIS/SUNGames_300x300Button.jpg;/library/Games2017/KING_OF_ATLANTIS/SUNGames_300x300Button.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;false;false;false;false;;;;;;;;;;;;;;
mwilds;Maji Wilds;true;mwilds;mwilds;CASINO;NGM;;;;;unavailable;;Playtech;;false;false;true;true;true;true;true;true;true;true;true;true;true;true;true;/library/Games2017/Maji_Wilds/300x300NoNewsmw.jpg;/library/Games2017/Maji_Wilds/300x300NoNewsmw.jpg;/library/Games2017/Maji_Wilds/300x300NoNewsmw.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;{{{games_category_slots,theme_fantasy,paylines_26-50,features_special_wilds,features_freerounds,bonus_type_free_spins,bonus_type_games_bonus,studio_playtech}}};false;false;false;false;;;;;;;;;;;;;;
200-1383-002;The Monkey Prince;false;200-1383-002;200-1383-002;GPAS;GPAS;;;;;unavailable;;Playtech;;false;false;true;true;true;true;true;true;true;true;true;true;true;true;true;/library/Games2017/Monkey_Prince/300x300NoNewsmp.jpg;/library/Games2017/Monkey_Prince/300x300NoNewsmp.jpg;/library/Games2017/Monkey_Prince/300x300NoNewsmp.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;false;false;false;false;;;;;;;;;;;;;;
CharmsOfTheSea;Charms of the Sea;false;CharmsOfTheSea;charmsofthesea;GPAS;GPAS;;;Sevens High (QS) SA;;unavailable;;Playtech;;false;false;true;true;true;true;true;true;true;true;true;true;true;true;true;/library/Games2017/Charms_Of_The_Sea/300x300NoNews.jpg;/library/Games2017/Charms_Of_The_Sea/300x300NoNews.jpg;/library/Games2017/Charms_Of_The_Sea/300x300NoNews.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;GAME_DESC_SEVENS;GAME_DESC_SEVENS;{{{games_category_slots,theme_fantasy,paylines_16-25,features_special_wilds,bonus_type_free_spins,bonus_type_games_bonus,studio_playtech}}};false;false;false;false;;;;;;;;;;;;;;
yoyos-wild;Yoyo's Wild;true;yoyos-wild;yoyos-wild;EYECON;EYECON;;;Sevens High (QS) SA;;unavailable;;Eyecon;;false;false;true;true;true;true;true;true;true;true;true;true;true;true;true;/library/Games2017/Yoyos_Wild/300x300NoNews.jpg;/library/Games2017/Yoyos_Wild/300x300NoNews.jpg;/library/Games2017/Yoyos_Wild/300x300NoNews.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;false;false;false;false;;;;;;;;;;;;;;
caravan-to-cairo;Caravan To Cairo;false;caravan-to-cairo;caravan-to-cairo;EYECON;EYECON;;;Sevens High (QS) SA;;unavailable;;Eyecon;;false;false;true;true;true;true;true;true;true;true;true;true;true;true;true;/library/Games2017/Caravan_To_Cairo/300x300NoNews.jpg;/library/Games2017/Caravan_To_Cairo/300x300NoNews.jpg;/library/Games2017/Caravan_To_Cairo/300x300NoNews.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;false;false;false;false;;;;;;;;;;;;;;
